author_diversity_proxy,controversy_score_proxy,evidence_references,issue_diversity_proxy,mixed_sentiment_proxy,recursion_proxy,reply_density_proxy,root_id,total_mentions
1.0,0.421,"['tt_p_fc_0014', 'tt_c_fc_0014_08', 'tt_c_fc_0014_04', 'tt_c_fc_0014_11', 'tt_c_fc_0014_10', 'tt_c_fc_0014_02']",0.3182,0.4,0.1,0.4615,tt_p_fc_0014,20
1.0,0.3994,"['tt_p_fc_0033', 'tt_c_fc_0033_13', 'tt_c_fc_0033_07', 'tt_c_fc_0033_08', 'tt_c_fc_0033_10', 'tt_c_fc_0033_12']",0.4615,0.25,0.1,0.4615,tt_p_fc_0033,20
1.0,0.3961,"['tt_p_fc_0094', 'tt_c_fc_0094_07', 'tt_c_fc_0094_13', 'tt_c_fc_0094_10', 'tt_c_fc_0094_06', 'tt_c_fc_0094_09']",0.4286,0.25,0.1,0.4615,tt_p_fc_0094,20
1.0,0.3949,"['tt_p_fc_0024', 'tt_c_fc_0024_06', 'tt_c_fc_0024_03', 'tt_c_fc_0024_04', 'tt_c_fc_0024_08', 'tt_c_fc_0024_07']",0.4167,0.25,0.1,0.4615,tt_p_fc_0024,20
1.0,0.3932,"['tt_p_fc_0013', 'tt_c_fc_0013_09', 'tt_c_fc_0013_05', 'tt_c_fc_0013_07', 'tt_c_fc_0013_08', 'tt_c_fc_0013_02']",1.0,0.0,0.1,0.4615,tt_p_fc_0013,20
1.0,0.3932,"['tt_p_fc_0039', 'tt_c_fc_0039_08', 'tt_c_fc_0039_05', 'tt_c_fc_0039_03', 'tt_c_fc_0039_02', 'tt_c_fc_0039_11']",1.0,0.0,0.1,0.4615,tt_p_fc_0039,20
1.0,0.3932,"['tt_p_fc_0041', 'tt_c_fc_0041_07', 'tt_c_fc_0041_02', 'tt_c_fc_0041_03', 'tt_c_fc_0041_11', 'tt_c_fc_0041_05']",1.0,0.0,0.1,0.4615,tt_p_fc_0041,20
1.0,0.3932,"['tt_p_fc_0081', 'tt_c_fc_0081_07', 'tt_c_fc_0081_03', 'tt_c_fc_0081_06', 'tt_c_fc_0081_13', 'tt_c_fc_0081_05']",1.0,0.0,0.1,0.4615,tt_p_fc_0081,20
1.0,0.3866,"['tt_p_fc_0070', 'tt_c_fc_0070_06', 'tt_c_fc_0070_05', 'tt_c_fc_0070_13', 'tt_c_fc_0070_02', 'tt_c_fc_0070_12']",0.3333,0.25,0.1,0.4615,tt_p_fc_0070,20
1.0,0.385,"['tt_p_fc_0098', 'tt_c_fc_0098_10', 'tt_c_fc_0098_03', 'tt_c_fc_0098_02', 'tt_c_fc_0098_12', 'tt_c_fc_0098_11']",0.3182,0.25,0.1,0.4615,tt_p_fc_0098,20
